担当教員,学籍番号,1,2,3,4,5, ,採点欄,備考欄,コピペ群,重複ワード,類似度,参考情報, ,NGワード数,NGワード一覧,再履修
森,21020020,仕事をする上で俯瞰的になる、第三者的な視点を持たなければならない。,現状に満足せずに、のびしろがあることを理解する。すべてのことに一生懸命に取り組む。,人との出会いが自分を助けてくれる。その出会いによって、来た波には乗る。チャンスは掴む。,今の世の中は調べればすぐに情報を得られるが、好奇心を持って、自分で現場に足を運ぶことが大事。,やると決めたら楽しむ。この楽しむということは自分の意志によって実感することができる。, , , ,Pattern1,仕事上俯瞰三視点現状満足しろこと理解すべてこと一生出会い自分出会い波チャンス今世の中情報好奇自分現場足ことこと自分意志実感こと,0.64,"対象:22019049 時期:今学期全てのキーワード:【やると決めたら楽しむ】純粋に全てのことを楽しもうとする心がけは豊かな人生に?がるだろう。,【俯瞰的に見る】仕事において第三者的立ち位置から冷静に物事を判断することが大切である。,【来た波には乗る】実績を残すと自信につながる。全ての仕事に誠実に全力で取り組む。,【現状に満足しない】自分で考え行動することを心がけることで自分の人間性やキャリアの成長に繋がる。,【好奇心を持って色々な経験をする】情報社会だからこそそれを活用し様々な経験を大切にしたほうが良い。", ,1,楽しむ, 
森,21020031,直向きに努力していたらきっかけ（やりたい事）は巡ってくる,基本来た波には乗って、案件やお声がかかったことは断らないようにする,いつまでも自分に満足せず伸び代を常に考える,やると決めたら楽しみ、打ち込んでいることに疑問を抱かない,委任状書留郵便の話から、予測していなかったことをする大切さ（期待を超える）, , , ,Pattern2,努力きっかけ事基本波案件声こと自分満足伸び常楽しみこと疑問委任書留郵便話予測こと期待,0.6,"対象:22022568 時期:今学期全てのキーワード:やると決めたら楽しむ。楽しむことは、自分の意思で決めること。,来た波には乗る。,知らないことの方が興味深い。,自分が努力をしない限り、勝手に得られるものはない。,好奇心を持って、現場に足を運んで自ら体験する経験をしてほしい。", ,0,, 
森,21021009,やってきた波に乗る,法律で解釈,お金は降ってこない,聞かれる前に連絡,目の前にきた仕事をやる, , , ,Pattern3,波法律解釈金前連絡前仕事,0.61,"対象:24021254 時期:今学期全てのキーワード:満足しない,今ある法律でどう解釈するか,自分のものにしていく,知らないこともたくさんある,聞かれる前に連絡をする", ,0,, 
森,21021014,やると決めたら楽しむ、楽しむことは自分で決める。,来た波には乗る、そして乗ったからには実績をもって恩返しする。,自分が努力をしない限り何かを得られることはない。,専門分野とは自分の好きなことを宣言すること。,自分がちっぽけな存在だと気づくときが大人になる瞬間。, , , ,Pattern4,こと自分波実績恩返し自分努力限りこと専門分野自分こと宣言こと自分存在とき大人瞬間,0.61,"対象:22022820 時期:今学期全てのキーワード:専門分野は自分の好きなことを宣言する,やると決めたら楽しむ,自分の存在がちっぽけに感じることが大人の始まり,自分で考え自分で行動する,楽しむことは自分の意志で決めること", ,1,楽しむ, 
森,21021015,一度物事を決めたのならば突き通し、楽しむこと。,自分で考えて、自分で行動。,物事に必死に打ち込むことで、雑念が消える。,現役で払いながら通うという自己負担の重たさ。責任感,実績として、機会をくれたものに対して恩返し, , , ,Pattern5,一度物事こと自分自分行動物事こと雑念現役自己負担責任感実績機会もの恩返し,0.62,"対象:24022861 時期:今学期全てのキーワード:自分で考えて自分で行動することが活躍につながる。,大変なことでもやるべき時は前向きに取り組む。,熱中しすぎず、俯瞰的、また客観的に物事を見つめる。,仕事をくれる人たちに誠心誠意、実績で返す。,実績によって信頼を得ることができ、その信頼は自信につながる。", ,1,楽しむ, 
森,21021017,やると決めたら楽しむ,俯瞰,傾聴,伸びしろ,来た波に乗る, , , ,Pattern6,俯瞰傾聴伸び波,0.6,"対象:25021444 時期:今学期全てのキーワード:やると決めたら楽しむ,俯瞰,伸びしろ,来た波には乗る,真剣勝負", ,1,楽しむ, 
森,21021050,やると決めたら楽しむ,仕事のオファーが来たら断らない,上司が新人の時から仕事を任せてくれたため、新人時代から自ら考えて行動していた,今マスタリーフォアサービスを実感するときは、他社の利益のために自分の知識を使うことができるときである,ネットなどで様々な情報が知れる時代だが、好奇心を持ち色々な場に足を運び自ら体験し経験にするべきである, , , ,Pattern7,仕事オファー上司新人時仕事ため新人時代自ら行動今マスタリーフォアサービス実感とき他社利益ため自分知識ことときネット情報時代好奇場足自ら体験経験,0.63,"対象:21023027 時期:今学期全てのキーワード:負け試合だと思っても熱意をもって前向きに捉えてやると決めたら全力で楽しむ,弁護士の仕事は当事者と同じ目線でいることではなく俯瞰的に見て第三者的に全力を尽くすこと,自分の知識を誰のために使うのかといったときに自分のためではなくて他者の利益のために知識を活用する,ネットで調べられることでも好奇心をもって現場に足を運んで自ら体験して経験を積んでそれが自信に繋がる,信頼関係のために聞かれる前に連絡をいれたり小島さんならやれると思ってくれているなら引き受ける", ,1,楽しむ, 
森,21022011,やりたいことを見つける様にすることで、やすべきことが明確になる。,向こうからやって来るものは自分のものにすることで、来た波には乗るということです。,勉強は終わらないということで、それに関して楽しんでする様にすることです。,出発地点、原点や出会いというのはとても大事であり、自分を作り上げていることです。,好奇心を持って、現場に足を運んで経験をする様にすることです。そのことに価値があるとありました。, , , ,Pattern8,ことことやこと向こうもの自分ものこと波こと勉強ことこと出発地点原点出会い自分こと好奇現場足経験ことこと価値,0.63,"対象:23022486 時期:今学期全てのキーワード:専門分野とは自分の好きなことを宣言すること。,やると決めたら楽しむ,仕事に熱中するのはいいことだけど俯瞰的に物事を見ることも大事。,若いうちからたくさんのことを経験させてもらい、今につながる。,好奇心をもって様々な場所に足を運び、たくさんのことを経験する。", ,0,, 
森,21022031,一度決めたらそのことをやり切る,何事にも努力や頑張りが必要,沢山のことに興味を持つ,物事を様々な切り口から考える,先入観を持たずに取り組む, , , ,,,, , ,0,, 
森,21023001,様々なアルバイト経験が新人時代役に立った。,研修時代仲良くなった同期と今も繋がっていて協力しあってる。助け合いが大切。,やると決めたら最後まで楽しむことが大切。,弁護士は人の役に立てることが実感できるところが魅力的。,一つ一つの仕事は真剣勝負で自分が努力しないと得られるものは無い。, , , ,Pattern9,アルバイト経験新人時代役研修時代同期今協力助け合い最後こと弁護人役こと実感ところ魅力一一仕事真剣勝負自分努力もの,0.62,"対象:22022453 時期:今学期全てのキーワード:仕事を丸投げされたからこそ、迷惑をかけないでおこうと必死にがんばれたからよかった。,弁護士の仕事は第三者的に全力を尽くすこと。クライアントの将来まで考えて。,クライアントの全部役に立つことはできないけど、自分にも役に立てることがあるんだと分かった。,仕事をしている中でやりたいことが見えてくる。,努力しない限り自分が何か得られるものはない。", ,1,楽しむ, 
