"回答日時","受付番号","回答ユーザ","第３回:キーワード①","第３回:キーワード②","第３回:キーワード③","第３回:キーワード④","第３回:キーワード⑤"
"2022/04/29 00:01","6975","31021549","専門分野というのは自分の好きなものを宣言すること","物事は楽しみながらやりきる","好奇心を大切にする","熱中するだけでなく、時には俯瞰的になることも大事","実績、信頼、自信のスパイラルが大事"
"2022/04/29 00:01","6974","24022139","やると決めたら楽しむ","意欲的に行動","率先して行動する","わからないままにしない","がんばる"
"2022/04/29 00:00","6972","24022271","学ぶことの大切さ","信じる心","勉強することの大切さ","人を思う気持ち","勉強に対してのやる気"
"2022/04/29 00:00","6971","26020546","転勤族","自分の道は自分で決める","やると決めたら楽しむ","決断したら迷わない","田嶋ことは自分の意思で決める"
"2022/04/29 00:00","6970","24022546","資格のための勉強は大変かもしれないが、やると決めたことは楽しんでやり通す","能力の高い人と出会う","自分に判断を任せてくれる人に出会う","波に乗せてくれた人に実績で恩返しする","主体性を持つ"
"2022/04/29 00:00","6969","24020449","弁護士の仕事は第三者的に尽くす","決断の連続","楽しんでできる力","好奇心","自ら体験"
"2022/04/29 00:00","6968","23020435","経験","人脈","縁","法律","目の前にきたお仕事"
"2022/04/29 00:00","6967","22022696","やると決めたら楽しむ","来た機会には並に乗る","楽しんで勉強し続ける","信頼してもらうために真剣に取り組む","好奇心をもって経験を積む"
"2022/04/29 00:00","6966","29021339","専門分野","司法試験","法律問題","成功体験","信頼関係"
"2022/04/28 23:59","6965","29021384","勉強が楽しい、勉強にはまる","自分のペースで鈍感に","やると決めたら楽しむ","正しい判断のための第三者の視点","全部の役には立てないが、役に立てることはある"
"2022/04/28 23:59","6964","34022067","やると決めたら楽しむ","新人でも挑戦していくが大事","頑張る","熱中し過ぎず俯瞰的に物を見る視点が大事","弁護士は困っている人が目の前にいるのでマスタリーフォアサービスが体現しやすい仕事"
"2022/04/28 23:59","6963","26020467","弁護士の書面作り","標準語に苦戦","苦労した後の成功体験の大きさ","アドバイスによる相手の心情変化","単純な喜び・嬉しさの大切さ"
"2022/04/28 23:59","6962","24019711","やると決めたら楽しむという感覚を大切にすること。","自分で選んで最後までやりきるということ。","きた波に乗ることできっかけになるかもしれないということ。","努力をしない限り儲かることはないため、一つ一つの仕事や信頼関係を大切にするということ。","自分の持っている知識を自分の利益だけではなく他社の利益のために使うということ。"
"2022/04/28 23:59","6961","29021279","任された仕事は自分でする","標準語が少ない","人見知りでも大丈夫","信頼につながり、信用につながる","話せる人がいなくてもなんとかなる"
"2022/04/28 23:59","6960","29021272","やると決めたことは楽しむ","第三者的に全力を尽くす","第三者的な視点を持つ","誰かの役に立つという成功体験","やりたいことが無かったら外で始める"
"2022/04/28 23:59","6959","22020471","やると決めたら楽しむ","波が来たら乗ること","俯瞰的な視線を持つ","自分で考えて行動する","楽しんで取り組む力"
"2022/04/28 23:59","6958","31021557","やると決めたら楽しむ","楽しむというのは自分の意思で決めること","実績→信頼→自信","波が来たら乗る","実績→信頼→自信"
"2022/04/28 23:59","6957","24021403","やると決めたら楽しむ","自分で考えて行動することの重要性","純粋な心","波に精一杯乗る","自信を持つこと、もてるようにすること"
"2022/04/28 23:59","6956","29022436","相手に親身になって話を聞くことは大切だが、距離が近すぎると客観的に見れなくなる","相手のことについて気を配って行動することで信頼を得られる","波が来たら、今までやったことがないことでも、挑戦してみる","常に好奇心を持ち、様々なことを体験する","学び続けることを楽しいと思う"
"2022/04/28 23:59","6955","22022617","前向きに捉える人に","目の前の仕事に真摯に取り組む","色々なものに触れて経験する","人の役に立っている実感ができる仕事","人間関係"
"2022/04/28 23:59","6954","24021469","語学力をつけてさまざまな人と交流することが大切だということ","日本とは違う外国に行って自分の考えを磨くこと","たくさんの人と交流し、意見を共有すること","人と人との繋がりを大切にすること","一瞬を必死に、今を大事にすること"
"2022/04/28 23:59","6952","24022246","やると決めたら楽しむ","司法試験","ボス","信頼","自信"
"2022/04/28 23:59","6951","22022793","専門分野とは自分の好きなことを宣言すること。","やると決めたら楽しむ。","今自分で考えて自分で行動することは将来の自分に繋がる。","仕事は全て真剣に取り組み、誠心誠意相手に応える。それは実践となる。","今までの背景に繋がりがある。（先輩や後輩）好奇心を持って現場に足を運び、経験に繋がる。一つ一つの行動に価値がある。"
"2022/04/28 23:59","6950","22022096","やると決めたら楽しむ","俯瞰的に物事を考え","仲間との支え合い","実績、信頼、自信のスパイラル","やってきたタイミングを逃さない"
"2022/04/28 23:59","6949","29021218","基本お断りしない","来た波には乗る","まだまだ未熟者","まだのびしろがある","満足していない"
"2022/04/28 23:59","6948","31022540","少し離れたところから観察する。近ずきずぎない","流されたりせず、しっかり自分をもつ。","やると決めたら、楽しむ","やることひとつひとつにこだわりをもつ","不安になっても焦らない。落ち着いて考える"
"2022/04/28 23:59","6947","31021350","楽しむと決めたらとことん楽しむこと","自主性を持って物事に取り組んでいくこと","実績で還元すること","実績から信頼関係を作り上げていくこと","人との出会いから自分を作り上げていくこと"
"2022/04/28 23:59","6946","29021364","やると決めたら楽しむ","熱中するのではなく、違う視点から見てみる、第三者的な立場で考える","多くの経験をおこない、自分で考えて行動に移していく","現状に満足せずに、目の前の物事に取り組む","自分の不安な気持ちや悩みを持ちながらも来た波に乗る"
"2022/04/28 23:59","6944","25022696","わからないところをつぶす","自分のペース","責任感","のびしろ","新しい仕組みに対応"
"2022/04/28 23:59","6943","25020222","自分の将来をしっかり計画する","決めたことを楽しむ","他人を協力する","自分で考え　自分で行動する","周囲の信頼を得る"
"2022/04/28 23:58","6942","29021076","無知の強み","自然体","好奇心","やると決めたら楽しんでやる","ある種の鈍感さ"
"2022/04/28 23:58","6940","24020731","やると決めたら楽しんでやり切る","楽しいは自分次第","熱中し過ぎず全体を俯瞰的に見る","考えながら行動する","決断の連続が自分を作る"
"2022/04/28 23:58","6939","38021219","何事も基礎が大事","将来上の立場になって部下に教える時に自分の経験を元に教えた方がいい","やると決めたら楽しむことが大事","自分に向いている仕事をすることが大事","自信は実績をあげることによって信頼を得ることでつくということ"
"2022/04/28 23:58","6938","29021484","司法試験の勉強と弁護士の実務は全然違う","やると決めたら楽しむ","第三者的に全力を尽くす","法律問題は決断の連続","来た波には乗る"
"2022/04/28 23:58","6936","27018030","弁護士と教育は全然違う","大人の始まり","色々任されることで自分で考える力が身についた","終わらない仕事は楽しまないとしんどい","法律の勉強は絶対無駄にならない"
"2022/04/28 23:58","6934","22021271","やると決めたら楽しくやる","傾聴する気持ちを持つ","来た舟に乗ってみる","新しいことにはどんどんチャレンジする","一つひとつを真剣勝負として考える"
"2022/04/28 23:58","6933","25022222","仕事でアルバイトの経験が役に立つ","嫌だからやらないという感覚はない","時には厳しいことを言わないといけない","社会に出て自分が充分でないことがわかる","多くの決断をしないといけない"
"2022/04/28 23:58","6932","25020319","やると決めたら楽しむ。","自分自身を知ってもらう。","辛い経験を大事にする。","不安や悩みを抱えこまない。","先輩から貰った恩は後輩へ"
"2022/04/28 23:58","6931","25020322","やると決めたら楽しむ","大変なことから逃げない","俯瞰的にみる","来た波には乗る","好奇心を持つ"
"2022/04/28 23:58","6930","29022036","やると決めたら楽しむ","自分で考えて自分で行動する","伸びしろ","来た波に乗る","好奇心を持って自ら体験する"
"2022/04/28 23:58","6929","25021070","たくさんの経験をする","どんな経験でも役に立つ","実績→信頼→自信のループ","来た波には乗る","仕事は全て真剣勝負"
"2022/04/28 23:58","6928","24021119","やるって決めたら楽しむ","弁護士は第三者としての視点が大事","来た波に乗る","一つ一つの仕事は真剣勝負","聞かれる前に答える"
"2022/04/28 23:58","6926","24022382","周りの意見を聞く","客観的な意見を大切にする","過程を重要視する","自分を褒める","人との関わりを失くさない"
"2022/04/28 23:58","6924","23021167","やると決めたら楽しむ","熱中しても全体を俯瞰する","声を掛けてもらったら絶対に断らない","実績→信頼→自信","他者の利益のために何ができるか考える"
"2022/04/28 23:58","6923","31020125","あえて厳しい道を行く","自分で自分自身を追い込む","自由だからこそ自分に厳しい道を選ぶ","就職活動","いる場所やタイミングなどを正しく選択すること"
"2022/04/28 23:57","6922","34020255","司法試験","将来設計","就職","弁護士","ロースクール"
"2022/04/28 23:57","6921","25019082","自分はちっぽけな存在","結果を想像しすぎずに波に乗る","未熟者","勉強を楽しみ続ける","スタートが大事"
"2022/04/28 23:57","6920","22021300","やると決めたら楽しむ","できませんとは言えなかった","ロースクールは熱量が違う","｢波に乗ってみるか｣の精神","法律の勉強は終わらない"
"2022/04/28 23:57","6918","34022052","専門分野は自分の好きなことを宣言していくこと","やると決めたら楽しむ","人との出会いが大切","第三者的に全力を尽くす(俯瞰的に物事を見る)","新しいことにとりあえずチャレンジしてみる! (波が来たらのる)"
"2022/04/28 23:57","6917","26021510","やると決めたら楽しむ","自分で考えて行動することが繋がる","知らないことの方が興味深い","一つ一つの仕事が真剣勝負","来た波に乗る"
"2022/04/28 23:57","6916","26020413","第三者的な視点で全力を尽くす","自分の役割を俯瞰的に見る","好奇心","自ら体験する","やると決めたら楽しむ"
"2022/04/28 23:57","6915","39022037","やると決めたら楽しむ","同じ目的を持った仲間と学ぶことは大切","成功体験は自信に繋がる","自分で考えて自分で行動すること","人との巡り合わせは大事"
"2022/04/28 23:57","6914","24022055","やると決めたら楽しむ","第３者として全力を尽くす","やらなければ身につかない","人との出会いと支えあい","弁護士は人の役に立つ実感を得られる"
"2022/04/28 23:57","6913","26020644","毎日必死","コミニュケーション能力","いかに証拠や主張を伝えるのかが大切","傾聴","来た波にのる"
"2022/04/28 23:57","6912","34020167","新人時代から大きな仕事を任されたことが今の自信に繋がった","「知らないこと」ほど怖いものは無い","「やる」と決めたら楽しむ","来た波には乗る","誰かに聞かれる前に自分から連絡する"
"2022/04/28 23:57","6911","23020234","世は法律で回っている","やると決めたら楽しむ","自分で考えて行動","好奇心を持つ","仕事に誇りを持つ"
"2022/04/28 23:57","6910","26020416","やると決めた事は楽しんでやり切る。","来た波に乗ってチャンスを無駄にしない。相手の信頼を獲得して自分に自信をつけて、また前に進むことが自分を成長させる方法の一つである。","自分の知識を他者に使うためにどうすればいいのか？を考えることで、社会に知識の還元を行う。","人との巡り合いは奇跡の連続であり、自分を助けてくれる。","好奇心を持って、自らで様々なことを経験をしてほしい。多様なものを知ることで自分の世界も広がる。"
"2022/04/28 23:57","6909","31020301","やると決めたことを楽しんでやる","俯瞰的な視点","様々な経験","探究心","信頼関係"
"2022/04/28 23:57","6908","24021726","やりがいがあるのはクライマックス","知識と事例","企業で人を育てる","やると決めたら楽しむ","自分を小さな存在と理解する"
"2022/04/28 23:56","6905","31021337","やると決めたら楽しむ","やる時は集中してマイペースに","・新人の時代から自分で考えて自分でやることが大きくなることに繋がった","傾聴力","好奇心を持っていろんなことに足を運ぶ"
"2022/04/28 23:56","6904","25021721","波が来たら乗る","実績は信頼に、信頼は自信につながる","やると決めたら楽しむ","自分で考えて行動することは仕事での活躍につながる","人との出会いは自分を助ける"
