"回答日時","受付番号","回答ユーザ","第3回:キーワード①","第3回:キーワード②","第3回:キーワード③","第3回:キーワード④","第3回:キーワード⑤"
"2022/10/10 17:00","3277","37022499","わからないことはすぐに聞くというのは社会人になってからも大事である","クライアントの方との信頼関係を保つにはコミュケーションをとる力が必要","クライアントの人を説得させる力が大切","色々な人と話して、物事の説明の仕方を学ぶことが仕事に活きることがある","色々な決断をする上で色々な人の声を聞いた上で自分の意志を持って最終的に決めることが大事"
"2022/10/10 17:00","3276","32021585","第3者の目線","法学部","弁護士","書くことの方が多い","人に寄り添う仕事"
"2022/10/10 17:00","3275","25021217","やると決めたら楽しむ","俯瞰的な視点を持つ","若い時に仕事を任されたことがキャリア形成の原点","好機を逃さずに挑戦する","様々な現場を直接見る経験が重要"
"2022/10/10 16:59","3272","26022356","やりたいこと楽しいことに集中","やると決めたら楽しむ","自分で考えて行動するをはじめからする","波が来たら乗る","社会に出たら人との出会いが助けになることがある"
"2022/10/10 16:59","3271","23022424","与えられた仕事をしっかりこなす","失敗を引き摺らない","不明","不明","不明"
"2022/10/10 16:59","3270","22020679","今は、情報が簡単に手に入る","手に入った情報を活用する","出会いを大切にする","初めての経験を次のステップに利用する","経験を通して自信をつける"
"2022/10/10 16:59","3269","23021218","展開型キャリア形成","目標達成型キャリア形成","軸を持てる社会人","経験は役に立つ","自分のやりたいことを周りに発信する"
"2022/10/10 16:59","3268","23021331","資格","自分のペース","やると決めたら楽しむ","聞くこと","ちっぽけであること"
"2022/10/10 16:59","3267","22021269","新人でも自分で考えて行動することが大切である。","勤務している間に自分のやりたいことがわかってくる。","聞かれる前に連絡することが信頼関係を築く上で大切である。","来た波に乗ることが大切である。","実績を上げ信頼を得ることで自信がつき、また実績が生まれる。"
"2022/10/10 16:59","3266","23022581","やりたいこと、楽しいことを見つけたらそれに集中する","やると決めたら楽しむと決める","波が来たら乗る","出会いを大切にする","上司などに任せきらず、まず自分から"
"2022/10/10 16:59","3265","26022287","専門は好きの宣言","やると決めたら楽しむ","出会い","新しい仕組み","前向きに捉える"
"2022/10/10 16:58","3264","24022355","ロースクールの講義","仲間との協力","法律の理解","コミュニケーション","考える力"
"2022/10/10 16:58","3263","25020580","研修中も準公務員として固定給を頂ける。","研修中は毎日がきつかった。","色々な立場で仕事をしていく上で熱中するのは大切だけど、俯瞰しすることがより大切。","社長の代わりに経営してた時、その時の辛さを忘れるくらい必死だった。","聞かれる前に連絡することが大切"
"2022/10/10 16:58","3262","23021175","実績","信頼","自信","来た波に乗る","前向き"
"2022/10/10 16:58","3261","23021533","自分で考えて自分で行動する","任されたことをなるべく断らない","実績　信頼　自信","来た波に乗る","目の前に来た仕事に一生懸命"
"2022/10/10 16:57","3260","23020578","人の役に立てる","自分の知識を誰のために使うか","好奇心を持って自分の足で経験を掴む","友人との出会い","やると決めたら楽しむ"
"2022/10/10 16:57","3259","23021224","みんなで支え合い、励まし合う仲間は何を成し遂げるにも重要。","自分の知識を持っても不安になることがあってもそれに立ち向かう。それを機に成長できる。","弁護士というとても複雑な立場、相手側との対応に対しても悩むことはあるがしごとをまっとうする。","人の役に立っていることを実感できる仕事に就くべき。自分の良さを理解していく。","誰とでもコミュニケーションを取れる力は何事にも必要。日頃から練習する。"
"2022/10/10 16:57","3258","23021437","自分はやるんだ","対立当事者","身近な法律","実績信頼自信","100周年のテレホンカード"
"2022/10/10 16:57","3257","29021016","教育","アメリカ留学で得たもの","第三者的な視点","優秀な人が集まる実感","人の役に立つ実感"
"2022/10/10 16:57","3255","25021380","やると決めたら楽しむ","弁護士は第三者目線から見るべきだ。第三者視点か物事を考える。","自分の存在がちっぽけだと思った時が大人の始まり。","自分で考えて自分で行動する。","実績→信頼→自信の正のスパイラル。目の前にきた仕事に対して誠実に、今まで通りに。"
"2022/10/10 16:56","3254","23021266","大学のうちにしかできないこと","やると決めたら楽しむ","努力を惜しまないこと","お金は降ってこない","実際の勉強と実務は全然違う"
"2022/10/10 16:56","3253","24020803","知らないと怖いものはない","いまの学生はやりたいことが明確","やると決めたら楽しむ","弁護士の仕事は第三者的に全力を尽くすものだ","好奇心をもって色んな現場に足を運んで自ら経験して楽しんでほしい"
"2022/10/10 16:56","3252","23021102","第三者的な視点を持つ","基本断らない","まだ伸び代ある","来た波には乗る","努力をせずに得られるものはない"
"2022/10/10 16:56","3251","26020539","やるときめたら楽しむと決める","自分の存在が小さいと感じるのは大人の始まり","実績信頼自信","物事を俯瞰的に見ること","事業を展開する前のスタートが大事"
"2022/10/10 16:56","3250","26022503","関学は全ての出発点","好奇心を持って挑戦する","やると決めたら楽しむ","きた波に乗る","実績を上げて信頼を得て自信に繋がる"
"2022/10/10 16:56","3249","26022512","信頼","実績","自信","やると決めたら楽しむ","自分の知識を他人のために使う"
"2022/10/10 16:56","3248","23020587","年に数回の為の積み重ね","今までとは違う道に進む","女性は資格を取るべき","知らないと怖いものはない","やると決めれば楽しむ"
"2022/10/10 16:56","3247","24022488","できるだけ貰った話は受けるようにする。","やると決めたら楽しんで取り組む。","自分のペースで物事を進めることが継続できた理由。","弁護士は社会の役に立つことを実感できる仕事。","出会いや新しいことを大切にする。"
"2022/10/10 16:56","3246","23020344","司法試験","カセットテープ","やると決めたら楽しむ","司法研修所","第三者的な視点"
"2022/10/10 16:55","3245","23021126","専門分野は自分の好きな事を発表すること","楽しみながらやる","傾聴する力","きた波に乗る","すべての出発点に感謝"
"2022/10/10 16:55","3244","24020011","司法試験についての知識はほとんどなかったが、とにかく司法試験の勉強をすることが楽しかったので全く苦ではなかった。","やると決めたら楽しむ。楽しむと決める。"," 弁護士の仕事は第三者的に仕事に尽くすこと。全体を俯瞰し、将来を見据えて、依頼者にとって何が良いかを考える。"," 裁判で勝つには正しい事実に対する裏付けや証拠を抜け目なく用意しなければならない。"," 弁護士の仕事は次から次へとやってくる裁判に立ち向かい、中には負け試合のある場合でもなんとか引き分けに持っていくことへの熱量がいる。"
"2022/10/10 16:54","3243","24022515","波に乗っていいように行動する","実績をあげて信頼から自身が生まれる","自分だけでなく他者の利益のために自分の力を使うことが大事","人との出会いが自分を助けてくれる","やると決めたら楽しむ"
"2022/10/10 16:54","3242","22022085","決断","楽しむ","司法試験","専業主婦","弁護士"
"2022/10/10 16:54","3241","24022321","書面作りが大半を占めている","やると決めたら楽しむ","学生時代に色々な社会経験を積むべき","好奇心を持って行動","プライドを持って仕事されている"
"2022/10/10 16:53","3240","24022372","必死に打ち込む","来た波に乗る","新しいことに挑戦する","聞かれる前に言う","前向きに捉える"
"2022/10/10 16:53","3239","26022565","やると決めたら楽しむ(司法試験とかの勉強を毎回毎回楽しんでるのが伝わり、何事も楽しむことが重要だと思った)","自分がちっぽけだと思う日が来たら大人の階段を登り始める","友達に気付かされることもあるので友達を大事にする。","関学という縦社会に入ったからにはネットワークを作る。人との出会いが大切","できると思えばその機会を逃さない。"
"2022/10/10 16:52","3238","24021732","やると決めたら楽しむ","自分のペース","消去法","不安","一旦やりたいようにやる"
"2022/10/10 16:52","3237","26022226","やると決めたら楽しむ","来た波には乗る","努力しない限り何も得られない","頼まれたことには誠心誠意一生懸命に取り組む","実績を残して自分は他人の役に立てるという自信を得ることの重要性"
"2022/10/10 16:52","3236","22021555","仕事はイメージと違うことも多い","準備こそ入念に","専門と呼ぶということ","やったことのないことをする","やるべき事から逃げない"
"2022/10/10 16:52","3235","23021205","やると決めたら楽しむ","説得力","自信","自分で考えて自分で行動する","他者の利益のため"
"2022/10/10 16:52","3234","26021358","実績という形で返す","実績信頼自信のサイクル","やりきる力を持つ","来た波に乗る","他社の利益のために活用する"
"2022/10/10 16:51","3233","38022009","やりたいこと楽しいことがあればそれに集中する","やると決めたら楽しむと決める","第三者の視点が大切","実績から周りの信頼を得る","大学在学中からさまざまなことを学ぶ"
"2022/10/10 16:51","3232","24022765","やると決めたら楽しむ","自分で考えて行動する","何事も前向きにとらえる","来た波に乗る","実績、信頼、自信"
"2022/10/10 16:51","3231","25020641","来た波に乗ってみる","聞かれる前に答えることが信頼に","実績、信頼、自信そして、また実績に繋がる","やると決めたら楽しむ","自ら実際に現場に立つことが大切"
"2022/10/10 16:50","3230","34022199","世の中は法律で回っている","弁護士の仕事は第三者的に全力を尽くすこと","いかなる事実でも証拠を出す","私が思う委任状の重さと依頼人が思う委任状の重さの違い","学生時代に留学をしておく"
"2022/10/10 16:50","3229","26022262","楽しんで物事を行う","できないはない","傾聴という課題","仕事は真剣勝負で向き合う","実績を作り信頼を得る"
