担当教師,回答日時,受付番号,学籍番号,1,2,3,4,5,コピペ検出,類似度,類似テキスト
森,2023/5/2 9:00,1736987,22020038,やると決めたら楽しむこと,ポジティブ思考でいること,物事を俯瞰的に見ること,自分で考えて行動すること,実績を得て自信をつけ信頼を得てまた実績を得るというサイクルを続けたこと,,,
森,2023/5/2 8:58,1736972,22020843,物事に取り組む時はやると決めたら楽しむ,自分で考えて自分で行動することを弁護士新人時代からやれたことが現在の活躍に繋がっている。,何か人から声をかけてもらった時には思い切って波に乗ってみる新しいことにチャレンジしてみる。,仕事に対して誠心誠意向き合う,依頼された仕事に真摯に向き合うことで周囲から信頼を得て、それを自信につなげていく。,,,
森,2023/5/2 5:21,1736703,22021223,やると決めたら楽しむ,どんどん新しいことにちょうせんする。,好奇心をもつ。,楽しめば自分も前向きになる。,楽しむを決めるのは自分だ。,,,
森,2023/5/2 8:43,1736885,23020320,知らないことの方が興味が湧く,お金は降ってこない,自分が努力しない限り得られるものはない,一つ一つの仕事は真剣勝負,波が来たら乗る,,,
森,2023/5/2 8:06,1736797,23021173,自分がこれをやるという仕事を宣言する,やると決めたら楽しむ,自分はどんな人間なのかダイレクトにわかる仕事,満足せずに伸びしろを探す,きた波には乗る,,,
森,2023/5/2 7:19,1736743,23022168,やると決めたら楽しむ,好奇心を持って取り組む,自分のペースで進む,実績、信頼、自信,任されたからには目の前のことに集中して、全力で取り組む,,,
森,2023/5/2 8:58,1736971,23022336,新人のときからたくさんのことを任されていた。,自分の仕事にプライドを持って働いている。,何事もやると決めたら楽しんでやる。,せっかく関学に入学したのだからさまざまなことに挑戦する。,持っている知識を人のために使う。,,,
森,2023/5/2 8:15,1736804,23022516,やると決めたら楽しむ,波に乗る,不安にさせるのは情報の説明不足,弁護士の仕事は第三者的に見ること,基本的に断らない,,,
森,2023/5/2 8:38,1736862,23022670,自分で考えて自分で行動する,知識がないから周りに教えてもらう,自分の存在がちっぽけだと大人になっても思う。それが大人の始まり。,任せてもらえるから、頑張る。,第三者目線で全体を俯瞰する,,,
森,2023/5/2 8:56,1736956,23023446,鈍感,疑問に思わずやり通す,来た波に乗る,縁を待つ,するからには楽しむ,,,
吉松,2023/5/2 4:13,1736693,24020405,やると決めたら楽しむ。,自分で考えて自分で行動する。,良いボスと巡り合えて、成長できた。,アルバ、授業、サークル活動、いろんなことに価値がある。,弁護士は、人の役に立てるのが実感できる。,,,
吉松,2023/5/2 7:10,1736740,25021202,司法試験,楽しむ,ボス弁,霞が関,社会の役に立つ仕事,,,
吉松,2023/5/2 8:25,1736827,25021662,自分が努力をしないかぎり、何かを得られることはない。,試験と実際の業務は異なる。,自分がちっぽけな存在だと気づく時が大人になる瞬間である。,来た波には乗る,実績に信頼が生まれて、信頼から自信が生まれ、自信からまた実績が生まれる循環がある。,,,
吉松,2023/5/2 8:23,1736821,25023059,専門分野とは自分が好きなものを宣言するということ,やると決めたら楽しく,第三者的な視点,来た波に乗る,自分の知識を自分の利益のためだけでなく他者の利益のために活用する,,,
吉松,2023/5/2 7:47,1736768,25023238,自分の好きなことはどんどん宣言していくとよい。,やると決めたら最後まで楽しめば苦じゃない。,昔も今も不安は常につきまとうものだが、それとうまく付き合えばいい。,早いうちから実技をこなしていけば、あとあとかけがえのない経験となる。,弁護士は第三者の立場から、依頼者の未来にとって何がいいかを考える仕事。,,,
吉松,2023/5/2 8:58,1736969,25023266,やりたい事(小島さんの場合は弁護士)になるために集中！やると決めたらとことんポジティブに楽しむ。,高校生時代の大学選びや就職活動時期に就職先を検討せず結婚願望があった際に、周りの大人に助けられた事,弁護士事務所のボス(上司)が小島さん達に業務を丸投げし更に責任まで受け持った為、かえって必死になった,依頼者に寄り添うあまりにネガティブになってしまった経験から第三者の立場から俯瞰して物事を見る事が大切,依頼者の反応で自分の説明の善し悪しが分かる。将来を見据えたビジョンに照らし合わせて説明する。,,,
吉松,2023/5/2 7:01,1736735,25023393,嫌だと思ってしまうとやる気が起きないので、やると決めたらしっかりと楽しんでやる。,第三者の視点を保持することが将来を見据え、最善の選択をする上で重要である。,全てが役に立つと言えるわけではないが、自分には役に立つことがあるから学ぶことは重要である。,一つ一つの物事に真剣に取り組むからお金がもらえるのであって努力しないとお金は降ってこない。,目の前の仕事に興味を持っている時は健康に気を配って仕事に取り組むことが重要である。,,,
吉松,2023/5/2 8:05,1736796,25023494,何事もやると決めたら楽しんでやる。,誰かに役立っているという実感がある、というやりがいの元で仕事に取り組まれている。,常に新しい問題や法律が生まれる中で、それらにひたむきに向き合い勉強していかなければならない。,来た波、その波を起こしてくれた人に対して、誠心誠意返せるように仕事に取り組む。,裁判など何事において負け試合じみていても、引き分けに持っていけるように最後まで熱意をもって取り組む。,,,
吉松,2023/5/2 8:49,1736909,26020197,やると決めたら楽しむ。,社会に出て、人との繋がりの大切さを実感した。,来た波には、乗る。,計画は立てすぎない(司法試験の勉強を始めた時、テレビに出る時、大学教授を引き受ける時、これから),自分の能力を何のために使う？(小島先生は、他人の利益のために),,,
吉松,2023/5/2 8:58,1736973,26020460,努力を怠らない,やると決めたら楽しむ,発想が柔軟,チャンスを活かす,やったことないことにトライ,,,
