"回答日時","受付番号","回答ユーザ","第２回:キーワード①","第２回:キーワード②","第２回:キーワード③","第２回:キーワード④","第２回:キーワード⑤"
"2022/04/29 00:00","7081","24021197","大学からの情報をキャッチ","会社を見れるだけ見る","忙しくなると周りが見れなくなる","外の目を持ってきづく","悩みすぎない"
"2022/04/28 23:59","7080","25020580","1日7社のペースで説明会を回った","仕事を覚えるのは大変であったが、毎日成長を感じるのは楽しい","どんなに忙しくても心のキャパシティを持つべき","国際経験の豊かさは一歳半の時であろうと評価されてしまう場合がある","仕事は忙しいものである"
"2022/04/28 23:59","7078","31021549","情報収集","人間万事塞翁が馬","今までに得た知識を様々な事に結び付ける","大事なのは体の余裕でなく心の余裕","最後までやり抜く人に成功は訪れる"
"2022/04/28 23:58","7077","22022606","自分が忙しいと決めるのはやめる","忙しくなると周りが見えなくなる","対話の技術を磨く","会話ではなく対話が大事","周りが見えなくなるということを理解しておく"
"2022/04/28 23:58","7075","22020471","どんなに忙しくても心に余裕を持つこと","自分を知ることと相手を知ること","反省するべき点は反省し、前向きに取り組む","人とのネットワークの中で色々なことを学ぶことができる","休息や息抜きは重要であること"
"2022/04/28 23:58","7076","22022096","心と心の交流","自分のことを知る相手のことを知る","前向きな塞翁が馬","自分を磨いて相手を磨く","外の目を持って気づく"
"2022/04/28 23:58","7074","29022436","事前に相手について調べて詳しくなることが大切","どれだけ忙しくても、心に余裕を持って人と接する","自分と異なるバックグラウンドの人と接する際に自分や相手についてよく知る","失敗しても、それが後に役に立つかもしれないからくよくよせずに立ち直る","他者を支援するための行動でも、システム化することで継続的にできるようになる"
"2022/04/28 23:57","7073","22021271","心の余裕を持つ","休息をしっかり取る","自分のことを知る","相手のことを知る","いつまでも落ち込まず前を向く"
"2022/04/28 23:57","7072","29021364","いろんな領域から全体を俯瞰しながら、個人やチームで実現させていく","心に余裕がないと、自分の行動や言動に変化が表れてしまうため、チームで連携していくためには心の余裕が必要である","自分とは違うバックグラウンドの人々と関わるため、自分のことを知ることと相手を知るということ","失敗しても、くよくよして悩みすぎずに反省はしつつも、前に向かって進んでいく","人間生きていくをいろいろなことがあるため、悪いことが合っても自分のためになるかもしれないという考えをもって前向きに進んでいく"
"2022/04/28 23:56","7070","24022139","商売は社会のためにならないと続かない","あまり気落ちしすぎない","とにかく挑戦","会話が大事","対話も重要"
