担当教員,学籍番号,1,2,3,4,5, ,採点欄,備考欄,コピペ群,重複ワード,参考情報, ,NGワード数,NGワード一覧,再履修
森,21020020,心に余裕がないことを自覚することが必要である。忙しい時であっても周りが見えるようにする。,自分のことを知り、相手のことを知ることで、お互いにとって何が最善であるのか分かってくる。,前向きな塞翁が馬。マイナスなことがあっても悲観的にならず、後で良いことに転ずると考えることが重要。,学校の情報をキャッチすることで良いことがある。kwicには自分に不必要なものもあるが取捨選択する。,ボランティアは一時的なものでしかない。継続的なものにするため、しくみを作っていく。, , , ,,, , ,0,, 
森,21020031,失敗は反省してすぐ立ち直ることが大切,自分を磨いて、仕事を磨いて、それ自体が社会のために良いものになる,マスタリフォーサービスは全ての根底となっている,アルバイトは意識してなくても、社会人としての在り方や働くということなどして世の中のことを知るいい機会,自分たちが考えてる以上のことがおこる, , , ,,, , ,0,, 
森,21021009,リサイクル,社会学,飛び級,心の余裕,前向きな塞翁が馬, , , ,,, , ,0,, 
森,21021014,前向きな塞翁が馬,あまりに味の合わないものはスープから外してもそんなに変わらない。,今のプラスチックをすべて排除すると食品包装や運搬において弊害が出るため、一部はこれからも残る。,総合商社の魅力は全体の商売をオーガナイズして、組み立てられることにある。,自分のことと相手のことを知った上での心と心の対話。, , , ,,, , ,0,, 
森,21021015,常に周りの情報に敏感になり収集する。情報を見逃さない。,現状の自分に自覚しているか、していないか判断。忙しいが故、心の余裕をなくさないこと。,気分転換の重要性,心を通わす為には、まず自分自身をよく知り、次に相手をよく知る。,前向きな塞翁が馬。悩むことは大事だけど、悩みすぎないこと。, , , ,,, , ,0,, 
森,21021017,プラスチック,飛び級,商売,三国貿易,前向きな人間万事塞翁が馬, , , ,,, , ,0,, 
森,21021050,飛び級制度を利用して、大学院に進学,就活時は180社の説明会をみた,自分が主体となって商売ができるため、コンサルタント業界ではなく、商社を選んだ,自分が忙しくなり周りが見れていないことがあるが、大切なのはそれを自覚することである,何が良くて何が悪いかわからないが、失敗などした時にあまりクヨクヨしすぎないことが大事, , , ,,, , ,0,, 
森,21022011,忙しいと周りが見えなくなる。なので心に余裕を持つことが大切である。,仕事のモチベーションは喜んでくれること、感謝されることであり生き甲斐になったりもするということです。,仕事をする上で相手のことを知ることは重要であるが、自分の事を知ることも重要であることです。,人間万事塞翁が馬という言葉がある様に、悪いことがあっても前向きでいることが大切であることを学んだ。,真理が君たちを自由にするという様に、やりたい事をやる。それが最も良い事であると学んだ。, , , ,,, , ,0,, 
森,21022031,塞翁が馬のように悪いことが良いことにつながることもある,息抜きする方法を持つこと。,活用できるものを見つけ出すこと、身の回りの環境を活かす。,1度の失敗で諦めないで継続で良い結果に繋がることもある。,自分の専門だけではなく多くのことに興味を持ち、他者との交流をためらわないこと。, , , ,,, , ,0,, 
森,21023001,飛び級制度で４年に上がらず院に行った。関学に飛び級制度があるのを初めて知り、興味深かった。,商社は海外と海外をつなぎルートを作る,商売を続けるには社会のためではないと続かない。,心に余裕がなくなると態度に現れてくるから自分で自覚して改善していくところ。忙しいは心を亡くす,商社は何をしてもよい。かなり手厚い。, , , ,,, , ,0,, 
森,21023003,商社は海外と海外を繋ぐもので現場に行ってルートをつくる,気分転換の方法を持っているといい,嫌なことがあっても自分の力になる,商売を続けるには社会の為じゃないと続かない,今までと違う新しいビジネスをつくることが環境ビジネス, , , ,,, , ,0,, 
森,21023005,kwicなどの関学からの情報はこまめにチェックしてうまく活用するべき。,就活はたくさん調べていくべき。,忙しくなり周りが見えなくなるのは態度に出てしまいすべてうまくいかなくなってしまう。,世界を相手とする商社では、自分を知り相手を違う立場だと思って知ることが大事。,自分の力になるので嫌なことがあっても、精一杯楽しんでみる。, , , ,,, , ,0,, 
森,21023011,三方よし,精一杯楽しむ,いやなことは長くは続かないし、なんなら自分の味をおいしくするかもしれない,明らかにいやなことはやめてもいい,商いは社会のためでないと続かない, , , ,,, , ,0,, 
森,21023013,小林さんが自分から発信すると仕事を任せてもらえるとおっしゃっていたように自分から行動しようと思った。,小林さんが一日6社～７社回り一か月で約180社回ったと聞いて驚いたがとても大切なことだと思った。,忙しいとは心をなくすと書くようにそれを自分で気づいているか、いないかが次に繋がっていくのだと思った。,仕事のやりがいは関わってくれる人が喜んでくれる事という言葉がとても心に残った。,何かを成し遂げている人は最後まであきらめていない人という言葉を聞いて自分も頑張ろうと思った。, , , ,,, , ,0,, 
森,21023014,今までと違う新しいビジネスをつくることが環境ビジネス,現場に行くのが商売の基本,世界を相手にするのに必要な姿勢は『自分のことを知る、相手のことを知る』,前向きな塞翁が馬なので失敗しても反省して次に活かす,一歳半の時にカナダにいたことが伊藤忠との縁を繋いだつまり、何がキャリアにつながるかわからない, , , ,,, , ,0,, 
森,21023020,つらい経験も自分の糧になる。,留学などを通し多文化を理解することは大切。,伊藤忠は様々な事業をしている。環境など。,プラスチックの処理を考える必要性。,先生は飛び級したりと勉強を頑張っていた。, , , ,,, , ,0,, 
森,21023021,楽しいことを仕事にする大切さ。自分も楽しくないとモチベが上がらず仕事効率が悪くなる,卒論を書くためにコンビニでアルバイト。卒論を書くために、実際に現場へ行く行動力！,大学院に飛び級キャリア等を考えれている！,180社の会社の説明会に参加短期間でこれほど忙しくされていた自分はもっと計画を立てたい,海外出張、海外での生活経験留学を考えているので、将来に役立つようなことを留学を通して実践したい, , , ,,, , ,0,, 
森,21023022,商売を続けるには社会のためでないと続かない,嫌なことがあっても自分の力になる,今までと違う新しいビジネスを作ることが環境ビジネス,宝の情報を見過ごしがちだからkwicを見る,忙しいは心を無くすという意味だから良くない, , , ,,, , ,0,, 
森,21023026,くよくよせず物事を前向きに考える前向きな作用が大事であること。,自分や仕事を磨き上げることにより、社会に練達出来ること。,仕事において相手を見つつ、心の余裕を持つ,新たな発見で見えることがあるので、諦めないで世に対応していくことが大事ということ。,自分や相手を知り、互いにとっていいことを考える, , , ,,, , ,0,, 
森,21023027,前向きな塞翁が馬といってその物事が悪いことなのか分からないから自分の味をおいしくするものとして捉える,心の余裕が仕事に影響するから心のキャパシティは持つべきだしできていないことを自覚することも大事,自分や仕事を磨くことが結果的に社会のためになるという奉仕の練達の考え方は自分の一部になっている,会話も大事だがバックグラウンドが違う人と意思疎通を図る対話が仕事では大事になる,見過ごしがちだが自分の将来の宝になるような情報をチェックしてキャッチすることが選択肢になる, , , ,,, , ,0,, 
森,21023028,やりがいは人の喜ぶ姿,どんなに忙しくても心に余裕を持つべき,バックグラウンドの違う人との関わりで、自分を知り、相手を知る姿勢が大事,休憩することは大事,人間万事塞翁が馬という言葉を、前向きな塞翁が馬と変えて、何が起きても前向きに捉えること, , , ,,, , ,0,, 
森,21023029,商社とはなんでも屋さんのようなイメージがあるが実際は四年間の上海研修を積んだり人との交流が必須の仕事,実際に社会に出てみることが大切だと修士一年生の時小林さんは感じた。,小林さんは忙しさで心の余裕がなっかった時、思いやりにかける行為をしたが反省した。,商社で採用された大きな理由の一つに幼少期短期間ではあったがカナダ留学していたことがあった。,前向きな塞翁が馬が小林さんが大切にしている考え方である。, , , ,,, , ,0,, 
森,22019706,商社の魅力。色々なことを見ながら全体の商売を組み立てる。本来バラバラな仕事を繋げていくこと。,仕事の失敗。心の余裕をなくして、仕事が回らなくなってしまう。他人への配慮がなくなってしまう。,仕事に向き不向きはない。会社として色々な人が居るべき。けれど商売が好きな人が良い。,前向きな塞翁が馬。反省するけど、くよくよしない。,精一杯楽しむ。嫌なことは長く続かない。けれどもそれはスープの味を美味しくする。, , , ,,, , ,0,, 
森,22019709,やると決めたら楽しむ,人生は自由,努力しない限り得られるものはない,現場にいく,来た波には乗る, , , ,,, , ,0,,再履修
森,22020038,様々な情報に目を通して、自分に合う情報を発見したこと,心の余裕を無くすことが仕事に影響を与えると理解すること,就職活動の際に何百社も調べ、自分の適性を見出したこと,人との関わりにモチベーションを持つこと,自分自身を客観視すること, , , ,,, , ,0,,再履修
森,22020061,忙しくても心のキャパシティを持つ,行き詰まったらリフレッシュをすることが大事,商売は社会のためにならないと続かない,人間万事塞翁が馬,真理はなんぢらに自由を得さすべし, , , ,,, , ,0,, 
森,22020098,前向きな塞翁が馬,人との関わり,自分と相手のことを知る,会話と対話,自分と仕事を磨く, , , ,,, , ,0,, 
森,22020107,忙しい時でも心に余裕を持つ,外の目を持って今の自分の状態に気づく,前向きな塞翁が馬,苦しいことがあっても沼から出る方法を考える。,死ぬまで練達, , , ,,, , ,0,,再履修
森,22020177,忙しいという事を自覚すること,人の持つ価値観を理解すること,人のためにする仕事じゃないと買い手は生まれない,対話することの大切さ,小さなことから大きなビジネスへと繋がっていくこと, , , ,,, , ,0,,再履修
森,22020189,商売,対話,塞翁が馬,人との交流,周りへの気遣い, , , ,,, , ,0,, 
森,22020340,プラスチック,フードロス,トレード,カナダ,商売, , , ,,, , ,0,, 
森,22020445,新しい商売,やりたいこと,商社,経験,合宿, , , ,,, , ,0,, 
森,22020493,大切にしている姿勢は“前向きな塞翁が馬”,大事な姿勢は“自分を知ることと相手を知ること”,商社はいろんな人がいるべき会社なので向き不向きはない,自分が主体となって商売をしていく商社に魅力を感じた,わくわくして楽しいことを作るこの仕事を大事に思っているため仕事自体が楽しくないことはあまりない, , , ,,, , ,0,, 
森,22020501,大学からの情報をよくチェック,飛び級制度を通して３年で卒業,外の目をもって気付く,人間万事塞翁が馬,真理は汝らを自由を得さすべし, , , ,,, , ,0,, 
